,ncformat,ipcc_code,ipcc_name,sourcename,crf,old_sg_name,ccp_category,pollutant,emission_year,mt_co2e,base_level
118,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2009,0.656047655,0.065991951
119,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2010,0.660598884,0.065991951
120,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2011,0.669055495,0.065991951
121,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2012,0.689343044,0.065991951
122,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2013,0.6810562,0.065991951
123,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2014,0.685171045,0.065991951
124,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2015,0.713452721,0.065991951
125,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2016,0.754482848,0.065991951
126,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2017,0.746984371,0.065991951
127,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2018,0.744553526,0.065991951
128,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2019,0.745704793,0.065991951
129,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,CO2,2020,0.740998543,0.065991951
131,Agriculture,1A4cii,1A4cii_Agriculture/Forestry/Fishing:Off-road,Agriculture - mobile machinery,Energy,Agriculture and related land use,Agriculture,N2O,1990,0.009982453,0.000180695
